,dataset,concentration,lam,var,r,var_lam,r_like
0,0,0.0,2.240437158469945,3.92011378097163,2.988407764809412,1.679676622501685,3.1318230607184785
1,0,0.15,1.1740506329113924,1.604530841872614,3.2019936339600905,0.4304802089612216,3.116840278979225
2,0,0.5,1.8121387283236996,3.173301499539248,2.412530551183152,1.3611627712155487,2.5790010318411185
3,0,0.75,1.371859296482412,2.677493259749629,1.4414437601145953,1.305633963267217,1.4373195530036114
4,0,1.0,2.641833810888252,4.621348351612159,3.5257563108377195,1.979514540723907,3.966146533727678
5,0,2.0,1.5958005249343832,2.2414560022102505,3.944176739776628,0.6456554772758674,3.924533607921684
6,1,0.0,1.5737704918032789,2.88632382663373,1.8869736529149632,1.3125533348304512,2.3229204091414606
7,1,0.15,2.367088607594937,6.233072131806309,1.4493358394093838,3.865983524211372,2.2567266935107875
8,1,0.5,0.3526011560693641,0.4086453882885146,2.21838305814044,0.0560442322191505,2.16522634950378
9,1,0.75,0.7763819095477387,1.1614558940799715,1.5653326209642653,0.3850739845322328,1.6671615977536751
10,1,1.0,0.6332378223495702,0.8593518427032901,1.7733979477554709,0.2261140203537199,1.8531740154170604
11,1,2.0,0.3464566929133858,0.4849150435142975,0.866919471043372,0.1384583506009117,1.0661080177928377
12,2,0.0,2.4836065573770494,5.631237368066473,1.9596648726714043,3.1476308106894235,1.99482610576359
13,2,0.25,2.2658227848101267,4.551336146272855,2.246301850048686,2.2855133614627285,2.193703924323501
14,2,0.5,1.8439306358381504,4.8683253748848125,1.1242183918274653,3.024394739046662,1.2644564792671902
15,2,0.6,2.190954773869347,4.97603888459932,1.723568348491537,2.785084110729973,1.5162318114928464
16,2,0.65,3.2550143266475646,9.236504956690707,1.771317372540042,5.981490630043142,1.790326925178464
17,2,0.7,14.94488188976378,72.57326978864485,3.875685280159052,57.62838789888107,3.809984400741209
18,3,0.75,1.6721311475409837,2.4785088704244327,3.467385686919397,0.806377722883449,2.983475018860608
19,3,0.8,5.281645569620253,17.15534458509142,2.349375698907448,11.873699015471168,2.303709859822794
20,3,0.85,3.88728323699422,11.648127670268911,1.9470781942011144,7.760844433274693,2.221412286830667
21,3,0.9,6.223618090452261,26.808811057807933,1.8816156932426489,20.585192967355677,1.8908259293981056
22,3,0.95,8.46704871060172,44.33008925336759,1.9990194022230887,35.86304054276587,2.492011548938134
23,3,1.5,10.391076115485564,66.37034120734909,1.9288295882524624,55.979265091863525,2.075984148925063
