,chip,y,x,n_cells,label
0,0,984.2845452552506,1319.3505292548834,2,1.0
1,0,982.813324831808,1853.0677742711207,6,2.0
2,0,982.302811553294,2381.838263449763,2,3.0
3,0,981.1569083657472,2914.940014038859,13,4.0
4,0,980.2660799109048,3451.516748946333,7,5.0
5,0,978.8881261348292,3977.1681835436057,4,6.0
6,0,977.9742735358112,4517.720250124525,2,7.0
7,0,977.3692038426698,5043.373346037547,2,8.0
8,0,976.1054479774384,5579.819774683226,0,9.0
9,0,974.2829160106608,6104.830010715317,5,10.0
10,0,974.0711566831516,6642.546401571021,4,11.0
11,0,973.1917080744016,7175.388874129465,4,12.0
12,0,972.4065641212052,7708.230668740311,7,13.0
13,0,971.6134123377078,8245.765082312517,3,14.0
14,0,969.8303889365934,8766.730736719834,0,15.0
15,0,968.8588824675652,9300.583212494828,5,16.0
16,0,969.3965685700082,9833.09951625374,5,17.0
17,0,967.7172569154554,10366.853864824552,3,18.0
18,0,965.8972597810662,10903.353260598777,3,19.0
19,0,964.8044091545904,11974.16831062618,4,20.0
20,0,962.1942380507958,12502.03703539327,2,21.0
21,0,961.0149760684016,13028.182644500206,4,22.0
22,0,959.3512624522044,13560.804551362338,4,23.0
23,0,958.4467094697408,14094.647448916654,2,24.0
24,0,956.9287609683138,14634.32784167513,4,25.0
25,0,955.9135528895644,15160.109803129624,1,26.0
26,0,954.468243124384,15697.451615273356,3,27.0
27,0,953.1872654795592,16237.612148056192,3,28.0
28,0,952.0585840716058,16766.999794508127,3,29.0
29,0,950.7915975149303,17299.7122463489,6,30.0
30,0,949.4921181405692,17832.681786505662,5,31.0
31,0,948.3541978844856,18362.069685188264,0,32.0
32,0,947.3434101437706,18898.75298228559,2,33.0
33,0,946.946750837039,19431.615083601548,4,34.0
34,0,945.7482130979506,19965.090593815294,4,35.0
35,0,944.7136780514212,20505.28583666287,3,36.0
36,0,967.3602345198864,11439.584827635474,0,37.0
37,0,947.1564199303084,21031.037527589902,2,38.0
38,0,1426.224925473986,1057.4876157578346,4,39.0
39,0,1425.7232580928985,1583.3303974010632,3,40.0
40,0,1424.4440041166504,2115.485753996749,3,41.0
41,0,1423.3281451818275,2648.590443200776,1,42.0
42,0,1422.1832773901328,3181.691162835643,5,43.0
43,0,1421.4400719393811,3714.665349264723,2,44.0
44,0,1420.2941671853246,4247.767828631855,4,45.0
45,0,1419.148854511693,4780.594857930995,0,46.0
46,0,1418.1398416605853,5313.834088616276,3,47.0
47,0,1416.997170047845,5843.222877323031,4,48.0
48,0,1416.1106806812836,6373.140272791332,2,49.0
49,0,1414.8587164194018,6909.024101457138,3,50.0
50,0,1414.2272854391808,7446.105347559738,5,51.0
51,0,1412.6931260452257,7971.652940999516,2,52.0
52,0,1411.4234441117374,8512.307748117863,6,53.0
53,0,1410.2812237883973,9034.01395966064,2,54.0
54,0,1409.4215928449908,9566.841224180163,2,55.0
55,0,1407.5729098159322,10099.813947701015,1,56.0
56,0,1407.386958424972,10633.567925567722,3,57.0
57,0,1406.6891182006966,11176.53030160742,0,58.0
58,0,1404.8092964602024,11703.227259923811,1,59.0
59,0,1403.6761110443308,12239.777680938629,2,60.0
60,0,1402.5461737197102,12765.45172771474,7,61.0
61,0,1401.1126721986393,13294.850602820456,2,62.0
62,0,1400.2427867426654,13827.677519734088,5,63.0
63,0,1398.415113073751,14364.352589763275,5,64.0
64,0,1397.6762887253826,14898.13321614069,3,65.0
65,0,1395.1028628745105,15427.842397141105,4,66.0
66,0,1395.504578232024,15968.17919983595,1,67.0
67,0,1393.8055575113283,16504.717690288187,1,68.0
68,0,1393.0601577619236,17037.68943428458,2,69.0
69,0,1391.8048238864426,17563.774167422896,6,70.0
70,0,1390.6558579518592,18100.044989775844,3,71.0
71,0,1389.3798774733036,18629.839667509783,6,72.0
72,0,1388.235122996905,19162.40701001742,4,73.0
73,0,1387.633466418676,19703.20218918597,8,74.0
74,0,1386.689941721826,20235.77717604249,0,75.0
75,0,1385.743098766654,20769.023058441817,3,76.0
76,0,1868.4439715206408,788.8955658812938,3,77.0
77,0,1867.030368322308,1321.5242915499002,1,78.0
78,0,1866.2486281825163,1854.2231438201725,6,79.0
79,0,1865.4844806020235,2382.973929944854,6,80.0
80,0,1863.2721972475376,2916.787571740472,10,81.0
81,0,1864.254703557073,3453.663989056521,5,82.0
82,0,1862.6124586362369,3978.56078850156,4,83.0
83,0,1860.9252251470573,4519.342320449724,0,84.0
84,0,1859.5293889325665,5045.009693805268,9,85.0
85,0,1859.56144973342,5581.957590263627,7,86.0
86,0,1858.561162678141,6108.223257160478,2,87.0
87,0,1857.5399842682,6644.1893788051775,5,88.0
88,0,1856.3901306921568,7177.28731075361,1,89.0
89,0,1855.037096961724,7709.881203193911,2,90.0
90,0,1854.569695120968,8246.708184939553,3,91.0
91,0,1854.12400028584,8767.40917328363,3,92.0
92,0,1853.092052656636,9302.484550579544,8,93.0
93,0,1851.3192381297365,9835.198992736388,2,94.0
94,0,1851.313091657076,10368.938190576107,11,95.0
95,0,1848.610705772489,10904.76713740831,0,96.0
96,0,1847.305090712856,11441.339462265098,5,97.0
97,0,1847.1610164579151,11974.642784315112,6,98.0
98,0,1844.2295029617944,13030.305823467932,12,99.0
99,0,1842.694577393636,13562.570981923867,8,100.0
100,0,1841.791468759868,14096.413813302095,7,101.0
101,0,1840.4056675911736,14635.971524548484,2,102.0
102,0,1838.980515685644,15162.134939763442,5,103.0
103,0,1837.8063281452607,15699.217855663686,5,104.0
104,0,1836.524209625332,16239.130965860497,5,105.0
105,0,1835.39975294002,16768.7652571325,4,106.0
106,0,1834.442862073867,17301.73359840112,8,107.0
107,0,1832.9758016946769,17834.580836298708,3,108.0
108,0,1831.7008392965813,18363.83600447013,4,109.0
109,0,1830.9610558413208,18900.52958066633,5,110.0
110,0,1830.522831215135,19433.88820476446,4,111.0
111,0,1828.9466357157053,19966.989030439443,1,112.0
112,0,1827.7668960177527,20507.28774351713,2,113.0
113,0,1826.944465736362,21033.193154191595,3,114.0
114,0,1848.689293548813,12503.30795478852,0,115.0
115,0,2310.076775119671,1058.737192463661,1,116.0
116,0,2309.4874816680112,1584.4049485381763,3,117.0
117,0,2308.0767930671823,2116.984541609663,1,118.0
118,0,2306.930889879636,2650.0862921987555,2,119.0
119,0,2305.7849866920888,3183.188042787853,2,120.0
120,0,2304.639083504542,3716.289793376949,6,121.0
121,0,2303.767901606951,4249.39213447996,4,122.0
122,0,2302.347277129448,4782.493294555139,2,123.0
123,0,2301.2013739419017,5315.595045144235,1,124.0
124,0,2300.206589639948,5844.581726762054,3,125.0
125,0,2299.1907332218534,6374.3830243324655,5,126.0
126,0,2298.3324283678303,6911.187650404937,3,127.0
127,0,2297.425708056936,7448.003784183882,2,128.0
128,0,2296.029041390785,7973.413442424286,1,129.0
129,0,2295.196567920696,8514.207420063269,1,130.0
130,0,2293.6222286419675,9035.774618100197,2,131.0
131,0,2293.0198055478204,9569.12401496944,3,132.0
132,0,2291.8739023602734,10102.225765558536,2,133.0
133,0,2290.585381042727,10635.466362191868,0,134.0
134,0,2288.861575820166,11179.440148977365,3,135.0
135,0,2288.392991565496,11705.51156317581,4,136.0
136,0,2286.5981071616898,12241.94004397224,1,137.0
137,0,2285.9995886007337,12767.871260748318,1,138.0
138,0,2285.191673880764,13297.635911813137,1,139.0
139,0,2284.045770693217,13830.737662402233,5,140.0
140,0,2282.7674199653225,14366.917707508415,2,141.0
141,0,2281.4159758505466,14900.2782631047,3,142.0
142,0,2280.1116888482184,15429.542969562724,8,143.0
143,0,2278.8404935775834,15969.939701260722,2,144.0
144,0,2277.430881661316,16506.754048685005,1,145.0
145,0,2277.021398108298,17040.105411489658,3,146.0
146,0,2275.631579721378,17565.793548527516,1,147.0
147,0,2274.2568808273963,18102.346703617102,1,148.0
148,0,2273.7346511993364,18630.819735335164,2,149.0
149,0,2271.8500680785787,19164.70787929301,0,150.0
150,0,2270.831889036432,19705.10062581011,5,151.0
151,0,2270.279838604046,20238.081729648555,5,152.0
152,0,2268.5400826613377,20771.304126988303,2,153.0
153,0,2751.7388571753654,789.9180792661264,2,154.0
154,0,2752.992862378033,1321.0027880584605,2,155.0
155,0,2750.1110925033763,1855.7415195630963,12,156.0
156,0,2748.261222223944,2384.462292075934,9,157.0
157,0,2747.420281375101,2918.3366482221545,3,158.0
158,0,2745.6029349757955,3455.03550938425,4,159.0
159,0,2747.835740327052,3979.520569703969,6,160.0
160,0,2748.4892597888274,4520.878560362043,1,161.0
161,0,2745.650926246717,5046.842511209624,1,162.0
162,0,2746.206004930059,5583.10369026718,5,163.0
163,0,2746.502029764584,6108.720393339414,2,164.0
164,0,2744.458300050356,6645.329971337977,5,165.0
165,0,2743.83989045959,7178.921766311384,2,166.0
166,0,2741.492585853458,8248.363066376378,0,167.0
167,0,2739.940162843888,8770.026421083068,4,168.0
168,0,2737.805513835264,9303.255459546224,7,169.0
169,0,2737.8566127019926,9836.72066857396,4,170.0
170,0,2738.773811252476,10370.53671364484,1,171.0
171,0,2735.657159483546,10906.527624045037,0,172.0
172,0,2733.389151599893,11976.708241971755,1,173.0
173,0,2732.167564430594,12505.471513535756,2,174.0
174,0,2731.0194416900417,13031.35064671423,0,175.0
175,0,2729.469893223011,13564.092031663991,3,176.0
176,0,2729.249253578328,14098.017610609197,6,177.0
177,0,2727.3049209571827,14638.124714480757,7,178.0
178,0,2726.4358289398547,15163.757649070612,4,179.0
179,0,2725.251677638978,15700.839925054011,2,180.0
180,0,2723.970179658764,16241.03282746203,8,181.0
181,0,2722.721308206996,16770.53171683714,5,182.0
182,0,2721.1669995596794,17303.51326963248,3,183.0
183,0,2720.5674123222184,17836.597985217602,3,184.0
